no,address,name,type,label,isuseraddress,website,twitter,crunchbase,linkedin
1,0x00000000000ba9cd9f5175108141a82b6c24d727,,,MEV Bot,False,,,,
2,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,,,MEV Bot,False,,,,
3,0x000000000004444c5dc75cb358380d2e3de08a90,Uniswap,dex,PoolManager,False,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
4,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Pendle Finance,yield,PendleRouter (Proxy),False,https://pendle.finance,https://twitter.com/pendle_fi,https://www.crunchbase.com/organization/pendle-finance,
5,0x0000000000000000000000000000000000000000,,,Null Address,False,,,,
6,0x0000000009b1fd739aea4b4581034de77be8e722,,,MEV Bot,False,,,,
7,0x000000000c56e91f092023d942aee89b3cc089ff,,,MEV Bot,False,,,,
8,0x000010036c0190e009a000d0fc3541100a07380a,Velora (Prev. ParaSwap),dex-aggregator,Executor,False,https://paraswap.io,https://twitter.com/paraswap,https://www.crunchbase.com/organization/paraswap,https://www.linkedin.com/company/paraswap
9,0x00000688768803bbd44095770895ad27ad6b0d95,The T Resolver (1inch Resolver),dex,Proxy (EIP-1967 Transparent),False,,,,
10,0x0000e0ca771e21bd00057f54a68c30d400000000,,,MEV Bot,False,,,,
11,0x00073bda963bf6f3bdefb60533b0012cf7fd4164,,,Independent Reserve Deposit,False,,,,
12,0x0015d0931df217d0de2920505c2a816f28aab570,,,,False,,,,
13,0x00681537d96c4f466f0489bf8d8b30e25339bdab,,,,False,,,,
14,0x003e5bd70aa09b9ad03b14ab33825039f2a81efa,,,,False,,,,
15,0x00836fe54625be242bcfa286207795405ca4fd10,Curve.fi,dex,CurveStableSwapNG,False,https://curve.fi,https://twitter.com/CurveFinance,https://www.crunchbase.com/organization/curve-finance,
16,0x00c09d257c64990cbe7f99b26bfc951c7576a8a7,,,,False,,,,
17,0x008311fb8c69d393f393ab45154314d74ba45252,,,,False,,,,
18,0x00bce86ba73f4d4ce4c59a83f70752ce4d5f7b9b,,,,False,,,,
